name,slug,category_slug,unit,product_type,description
Magnam quo iste,magnam-quo-iste,indoor-plants,pcs,catalog,Tenetur quis occaecati vel nisi earum qui voluptatum autem doloremque.
Nulla necessitatibus non,nulla-necessitatibus-non,succulents,pcs,catalog,Quos voluptas dolorem sit alias animi atque officia deleniti enim blanditiis earum.
Voluptatem id nostrum,voluptatem-id-nostrum,succulents,kg,sellable,Rerum impedit fuga aut ab eaque omnis non et autem.
Aut quo ducimus,aut-quo-ducimus,outdoor-plants,pcs,sellable,Excepturi soluta quis et sed libero voluptatibus perferendis quasi possimus.
Voluptate molestiae occaecati,voluptate-molestiae-occaecati,indoor-plants,pcs,catalog,Sapiente ut non iusto quisquam minima ipsa temporibus tempora quos eveniet facere corrupti adipisci.
Voluptates doloremque delectus,voluptates-doloremque-delectus,indoor-plants,pcs,catalog,Ipsam reprehenderit ullam maxime libero dolorum rerum adipisci voluptatem.
Fuga deleniti nostrum,fuga-deleniti-nostrum,indoor-plants,pcs,sellable,Odio nam perferendis harum ut temporibus iusto libero molestiae eveniet numquam.
Voluptatem itaque repellat,voluptatem-itaque-repellat,outdoor-plants,kg,sellable,Ullam a molestias cumque necessitatibus incidunt inventore quibusdam dolores velit.
Non omnis mollitia,non-omnis-mollitia,outdoor-plants,kg,sellable,Deleniti atque alias et rerum eaque libero.
Doloremque est rerum,doloremque-est-rerum,indoor-plants,pcs,catalog,Vitae repudiandae voluptas quae quia est molestias in voluptatem occaecati omnis consequatur quia.
Quae deleniti quia,quae-deleniti-quia,outdoor-plants,kg,catalog,Rem doloribus ut at deserunt optio deserunt veritatis sed qui.
Illo nam ut,illo-nam-ut,indoor-plants,kg,catalog,Perspiciatis quisquam quasi sunt corrupti ut iste non placeat et repellendus mollitia explicabo debitis.
Et aperiam corporis,et-aperiam-corporis,outdoor-plants,pcs,catalog,Qui voluptas voluptas minima eum consequuntur eaque eaque sint dignissimos.
Et tempore aspernatur,et-tempore-aspernatur,outdoor-plants,pcs,sellable,Enim officia assumenda in corrupti modi facilis asperiores optio ullam quidem.
